original_id,පාලි වචනය,කෙටි ව්‍යා,පද බෙදීම,සිංහල තේරුම,සංඥා නාම විස්තරය ,ව්‍යාකරණ විස්තරය ,නිරුක්තිය
73355,අංස 2.2,විශේ,,පැත්ත,,අංස' ශබ්දයේ විශේෂණ රූපයකි ('පැත්තෙහි ඇති' අර්ථයෙන්).,
10470,අංස 3.1,පු,,උරහිස,,අංස' (පු.) — 'අන්' (හුස්ම ගැනීම/ජීවත්වීම යන අර්ථය ඇති) ධාතුවට 'ස' ප්‍රත්‍යය එකතුවීමෙන් සෑදුණකි (අන් + ස → අංස). 'උරහිස' (භුජසිරො) යන අර්ථය මූලාශ්‍ර නිරුක්තියේ සෘජුවම සඳහන් වේ.,
GAP1-305,අංසකාසාව,න,(අංස+කාසාව),උරහිස් වසා පොරවන රෙද්ද,,සමාස පදයකි: 'අංස' (උරහිස) + 'කාසාව' (සායම් ගැසූ රෙදිය) → අංසකාසාව. සප්තමී තත්පුරුෂ සමාසයකි ('උරහිසෙහි කාසාව රෙදිය').,
10471,අංසකූට,න,අංස+කූට,උරහිස,,සමාස පදයකි: 'අංස' + 'කූට' (මුදුන) → අංසකූට. තත්පුරුෂ සමාසයකි.,
10472,අංසට්ඨික,න,(අංස+අට්ඨික),උරහිසේ ඇටය,,සමාස පදයකි: 'අංස' + 'අට්ඨික' (ඇටය) → අංසට්ඨික (ස්වරසන්ධි: අ+අ→අ). තත්පුරුෂ සමාසයකි.,
10473,අංසබද්ධ,පු,,උරහිස් පටිය,,"සමාස පදයකි: 'අංස' + 'බද්ධ' (√බන්ධ් + ත, අතීත කෘදන්තය) → අංසබද්ධ. තත්පුරුෂ/බහුව්‍රීහි සමාසයකි.",
10474,අංසබද්ධක,පු,(අංස+බද්ධක),උරහිස් පටිය,,අංසබද්ධ' + 'ක' ස්වාර්ථික තද්ධිත ප්‍රත්‍යය → අංසබද්ධක; අර්ථයේ වෙනසක් නැත.,
10475,අංසබන්ධක,පු,(අංස+බන්ධක),උරහිස් පටිය,,සමාස පදයකි: 'අංස' + 'බන්ධක' (√බන්ධ් + ණ්වුල් කර්තෘකාරක ප්‍රත්‍යය) → අංසබන්ධක. තත්පුරුෂ සමාසයකි.,
10476,අංසබන්ධන,න,,උරහිස් පටිය,,සමාස පදයකි: 'අංස' + 'බන්ධන' (√බන්ධ් + යුච් භාවකාරක ප්‍රත්‍යය) → අංසබන්ධන. තත්පුරුෂ සමාසයකි.,
10477,අංසවට්ටක,පු,(අංස+වට්ටක),උරහිස් පටිය,,සමාස පදයකි: 'අංස' + 'වට්ටක' (රවුම් දෙය) → අංසවට්ටක. තත්පුරුෂ සමාසයකි.,
10478,අංසා,ඉ,,අර්ශස් රෝගය,,"අංසා' (ඉ.) — 'අංස' මූලයට වෙනස්, සංස්කෘත 'अर्शस्' (රෝගය) ශබ්දයේ පාලි විකෘත රූපයක් ලෙස සැලකේ.",
10479,අංසි,ඉ,,කෙළවර; කෙළවරය,,අංසි' (ඉ.) — 'අංස' මූලයට වෙනස් ස්වාධීන ශබ්දයකි; 'ඊ' ප්‍රත්‍යයෙන් ස්ත්‍රී ලිංගයට හැරී ඇත.,
10480,අංසු 1,පු,√අංස් (√අංස්+උ),නූල; කෙන්ද,,අංසු' (පු.) — සංස්කෘත 'अंशु' ශබ්දයට සමාන පාලි රූපයකි; 'නූල් තන්තුව' අර්ථය.,
10481,අංසු 3,පු,√අංස්,රශ්මිය;ආලෝක කිරණය,,අංසු' යන එකම ශබ්දයේ අර්ථාන්තරයකි — 'ආලෝක කිරණය'.,
10482,අංසුක,න,√අංස්,රෙද්ද; වස්ත්‍රය,,අංසු' + 'ක' ස්වාර්ථික තද්ධිත ප්‍රත්‍යය → අංසුක; 'රෙදිය' යන අර්ථය.,
10483,අංසුමාලී,පු,,සූර්යයා,,සමාස පදයකි: 'අංසු' (කිරණ) + 'මාලී' ('මාලා' + 'ඊ' ස්වාමිත්ව තද්ධිත ප්‍රත්‍යය) → අංසුමාලී. බහුව්‍රීහි සමාසයකි — 'කිරණ මාලාවෙන් යුත්තා' (සූර්යයා).,
67567,අකංඛ,විශේ,√කඞ්ඛ්,ආශාවෙන් තොර,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කංඛා' (√කංඛ = ඉච්ඡායං, 'ආශා කිරීම' ධාතුවෙන් ව්‍යුත්පන්නය) → අකංඛ. නඤ්-තත්පුරුෂ සමාසයකි.",
138,අකංසු 1,අතී,√කර් (අ+කා+ංසු),කළහ;කළෝය,,අකංසු' — √කර් (කිරීම) ධාතුවට 'අ' ආගම හා අජ්ජතනී තෙවන පුරුෂ බහුවචන 'අංසු' ප්‍රත්‍යය එකතුවීමෙන් සෑදුණු ක්‍රියා පද විභක්ති රූපයකි ('ඔවුහු කළහ'). කිසිදු සමාසයක් නොවේ.,
7,අකක්කස,විශේ,(න > අ+කක්කස),සුමට; මෘදු;කර්කශ නොවන,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කක්කස' (√කර් + 'කස' ප්‍රත්‍යය, 'රළු/පරුෂ' අර්ථය) → අකක්කස. නඤ්-තත්පුරුෂ සමාසයකි.",
67568,අකක්කසඞ්ග,විශේ,අ+කක්කස+අඞ්ග,සුමට හා පිරිසිදු අවයවවලින් යුත්,,සමාස පදයකි: 'අකක්කස' + 'අඞ්ග' (අවයවය) → අකක්කසඞ්ග. බහුව්‍රීහි සමාසයකි — 'රළු නොවූ අවයවයන්ගෙන් යුත්තා'.,
67570,අකක්ඛල,විශේ,,දෘඪ නොවූ;කර්කශ නොවූ,,සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කක්ඛල' (දෘඪ; 'කක්කස' ට වෙනස් මූලයකි) → අකක්ඛල. නඤ්-තත්පුරුෂ සමාසයකි.,
67569,අකක්ඛලතා,ඉ,,මෘදුබව,,අකක්ඛල' + 'තා' භාවකාරක තද්ධිත ප්‍රත්‍යය → අකක්ඛලතා. 'මෘදුබව' යන අර්ථය.,
67571,අකක්ඛළ,විශේ,,දෘඪ නොවූ,,අකක්ඛල' හි ම යනුමාත්‍ර ('ල'/'ළ') විකල්ප ලේඛන රූපයකි.,
67572,අකක්ඛළවාචතා,ඉ,,මෘදු කථනයෙන් යුත්;කර්කශ නොවූ වචනයෙන් යුත්,,සමාස පදයකි: 'අකක්ඛළ' + 'වාච' (කථනය) + 'තා' තද්ධිත ප්‍රත්‍යය → අකක්ඛළවාචතා. තත්පුරුෂ සමාසයකි.,
8,අකඞ්ඛ 1.1,විශේ,√කඞ්ඛ් (න > අ+√කඞ්ඛ්+අ),සැකයෙන් තොර,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කඞ්ඛා' (√කඞ්ඛ් = ඉච්ඡායං, 'ආශා/සැක කිරීම' ධාතුවෙන් ව්‍යුත්පන්නය) → අකඞ්ඛ. නඤ්-තත්පුරුෂ සමාසයකි. 'සැකයෙන් තොර' යන අර්ථය.",
9,අකඞ්ඛ 2.1,විශේ,√කඞ්ඛ් (න > අ+√කඞ්ඛ්+අ),ආශාවෙන් තොර,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කඞ්ඛා' (√කඞ්ඛ් = ඉච්ඡායං, 'ආශා/සැක කිරීම' ධාතුවෙන් ව්‍යුත්පන්නය) → අකඞ්ඛ. නඤ්-තත්පුරුෂ සමාසයකි. 'ආශාවෙන් තොර' යන අර්ථයෙන්ම වෙනත් සන්දර්භයක.",
10,අකඞ්ඛී,විශේ,√කඞ්ඛ් (න > අ+√කඞ්ඛ්+ආ+ඊ),සැකයෙන් තොර,,අකඞ්ඛ' + 'ඊ' ස්වාමිත්ව තද්ධිත ප්‍රත්‍යය → අකඞ්ඛී. 'සැකයෙන් තොර වූයෙක්' යන අර්ථය.,
12,අකච්ඡ,කි,√කථ් (න > අ+√කථ්+ය),කථා කිරීමට නුසුදුසු,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කච්ඡ' (√කථ් ධාතුවෙන් සෑදුණු කෘත්‍ය/විධ්‍යර්ථ කෘදන්තය, 'කථා කළ යුතු දෙය') → අකච්ඡ. නඤ්-තත්පුරුෂ සමාසයකි — 'කථා කිරීමට නුසුදුසු'.",
11,අකචි 1,සර්,(න > අ+ක+චි),කිසිවක් නොවේ,,"අකචි' (1) — නිෂේධාර්ථ 'අ' + 'කචි' (කිං + චි, 'කිසියම්' අනිශ්චිත සර්වනාමයෙන් සෑදුණු කෙටි රූපය) → අකචි. 'කිසිවක් නොවේ' යන අර්ථය.",
67658,අකචි 2,සර්,,වඩාත් යහපත්,,අකචි' හි ම ලේඛන රූපයෙන් වෙනස් අර්ථයක් ගන්නා ස්වාධීන යෙදුමකි ('වඩාත් යහපත්'); මූලාශ්‍රයේ පැහැදිලි ව්‍යාකරණාණුකූල පැහැදිලි කිරීමක් සොයාගත නොහැකි විය.,
13,අකට 1,අකෘ,√කර් (න > අ+√කර්+ත),නොකළ;නොසෑදූ,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කත' (√කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'කරන ලද') → අකත. නඤ්-තත්පුරුෂ සමාසයකි — 'නොකළ'.",
67573,අකටපබ්භාර,පු,,කන්දක බෑවුම,,සමාස පදයකි: 'අකත' + 'පබ්භාර' (බෑවුම) → අකටපබ්භාර ('ත'→'ට' ලේඛන විකාරය). කර්මධාරය සමාසයකි — 'ස්වභාවික (නොකළ) බෑවුම'.,
67574,අකටභූමිභාග,පු,,වගා නොකළ බිම,,සමාස පදයකි: 'අකත' + 'භූමිභාග' (භූමි කොටස) → අකටභූමිභාග. කර්මධාරය සමාසයකි — 'වගා නොකළ ක්ෂේත්‍රය'.,
16,අකටයූස,පු,(අකට+යූස),බෝංචි සුප්,,සමාස පදයකි: 'අකත' + 'යූස' (සුප්) → අකටයූස. කර්මධාරය සමාසයකි — 'සරල (නොසැකසූ) සුප්'.,
67575,අකටවිඤ්ඤත්ති,ඉ,,නුසුදුසු ඉල්ලීම,,සමාස පදයකි: 'අකත' + 'විඤ්ඤත්ති' (ඉල්ලීම/ඇඟවීම) → අකටවිඤ්ඤත්ති. කර්මධාරය සමාසයකි.,
17,අකටවිධ,විශේ,(න > අ+කට+විධ),නිර්මාණය කරන්නට සලස්වූ නොවේ,,සමාස පදයකි: 'අකත' + 'විධ' (වර්ගය/ආකාරය) → අකටවිධ. කර්මධාරය සමාසයකි — 'සකස් කරන ලද නොවේ'.,කතවිමොකරණවිධි නත්ථි එතෙසන්ති අකටවිධා. (මොවුන් සඳහා සාදන ලද මුක්ති ක්‍රමයක් නොමැති බැවින් 'අකටවිධ' නම් වේ)
67576,අකට්ඨ,අකෘ,√කස් (න > අ+√කස්+ත),වගා නොකළ,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කට්ඨ' (√කස් = ගමනෙ, 'සීසීම/හෑරීම' ධාතුවෙන් ව්‍යුත්පන්නය — 'අකත' (√කර්) ට වෙනස් මූලයකි) → අකට්ඨ. නඤ්-තත්පුරුෂ සමාසයකි — 'වගා නොකළ'.",
19,අකට්ඨපාක,විශේ,(න > අ+කට්ඨ+පාක),වගා නොකළ බිමේ පැසුණු,,"සමාස පදයකි: 'අකට්ඨ' + 'පාක' (√පච් 'පැසීම' ධාතුවෙන්, 'පැසුණු') → අකට්ඨපාක. කර්මධාරය සමාසයකි — 'වගා නොකළ බිමේ ස්වයංව පැසුණු'.",
20,අකට්ඨපාකසාලිපාතුභාව,පු,(අකට්ඨ+පාක+සාලි+පාතුභාව),වගා නොකළ බිමේ පැසුණු සහල් පහළවීම,,"සමාස පදයකි: 'අකට්ඨපාක' + 'සාලි' (සහල්) + 'පාතුභාව' (√පාතු+භූ, 'පහළවීම') → අකට්ඨපාකසාලිපාතුභාව. තත්පුරුෂ සමාසයකි.",
18,අකටානුධම්ම,විශේ,(අකට+අනුධම්ම),(විනය) විනය කර්මය සම්පූර්ණ නොකළ,,සමාස පදයකි: 'අකත' + 'අනුධම්ම' (විනය නීතික්‍රියාව) → අකතානුධම්ම (ස්වරසන්ධි: අ+අ→ආ). කර්මධාරය සමාසයකි.,
67577,අකඨිනතා,ඉ,,දෘඪත්වයේ නොපැවතීම,,"අකඨින' (a+කඨින, 'දෘඪ') + 'තා' භාවකාරක තද්ධිත ප්‍රත්‍යය → අකඨිනතා. 'දෘඪත්වයේ නොපැවතීම' යන අර්ථය.",
21,අකඩ්ඪි,අතී,√කඩ්ඪ්,ඇදගත්තේය,,අකඩ්ඪි' — √කඩ්ඪ් (ඇදීම) ධාතුවට 'අ' ආගම හා අජ්ජතනී තෙවන පුරුෂ ඒකවචන 'ඉ' ප්‍රත්‍යය එකතුවීමෙන් සෑදුණු ක්‍රියා පද විභක්ති රූපයකි ('ඇදගත්තේය'). සමාසයක් නොවේ.,
22,අකණ,විශේ,(න > අ+කණ),නිවුඩු ඉවත් කළ,,සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කණ' (නිවුඩු) → අකණ. බහුව්‍රීහි සමාසයකි — 'නිවුඩුවෙන් තොර (ධාන්‍ය)'.,
25,අකණ්ටක,විශේ,√කත් (න > අ+කණ්ට+අක),කරදරයකින් තොර,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කණ්ටක' (කටුව) → අකණ්ටක. බහුව්‍රීහි සමාසයකි — 'කටුවෙන් තොර', උපමා අර්ථයෙන් 'කරදරයකින් තොර'.",
26,අකණ්ටකනික්කණ්ටක,විශේ,(අකණ්ටක+නික්කණ්ටක),කරදරයකින් හා බාධාවකින් තොර,,"සමාස පදයකි: 'අකණ්ටක' + 'නික්කණ්ටක' (එකම අර්ථයේ අවධාරණාත්මක පුනරාවර්තනයකි, 'නි' උපසර්ගයෙන් ශක්තිමත් කළ) → අකණ්ටකනික්කණ්ටක. ද්වන්ද සමාසයකි (අවධාරණාර්ථයෙන්).",
27,අකණ්හ,විශේ,(න > අ+කණ්හ),කළු නොවූ,,සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කණ්හ' (කළු) → අකණ්හ. නඤ්-තත්පුරුෂ සමාසයකි.,
28,අකණ්හඅසුක්ක,විශේ,(අකණ්හ+අසුක්ක),කළුත් නොවූ සුදුත් නොවූ,,"සමාස පදයකි: 'අකණ්හ' + 'අසුක්ක' (අ+සුක්ක, 'සුදු නොවූ') → අකණ්හඅසුක්ක. ද්වන්ද සමාසයකි — 'කළුත් නොව සුදුත් නොවූ' (අභිධර්මයේ මධ්‍යස්ථ කර්ම ගැන යෙදෙන පදයකි).",
29,අකණ්හඅසුක්කවිපාක,විශේ,(අකණ්හ+අසුක්ක+විපාක),අකුසල සහ කුසල විපාක නොවන,,සමාස පදයකි: 'අකණ්හඅසුක්ක' + 'විපාක' (ප්‍රතිඵලය) → අකණ්හඅසුක්කවිපාක. තත්පුරුෂ සමාසයකි.,
67578,අකණ්හනෙත්ත,විශේ,,අඳුරු ඇස් නොමැති,,සමාස පදයකි: 'අකණ්හ' + 'නෙත්ත' (ඇස) → අකණ්හනෙත්ත. බහුව්‍රීහි සමාසයකි — 'අඳුරු ඇස් නොමැති'.,
67579,අකණ්හාසුක්ක,විශේ,,යහපත් හෝ නරක නොවූ,,අකණ්හඅසුක්ක' හි ම ස්ත්‍රී ලිංග/විකල්ප ලේඛන රූපයකි ('අකණ්හා' + 'අසුක්ක').,
30,අකණ්හාසුක්කවිපාක,විශේ,(අකණ්හ+අසුක්ක+විපාක),අකුසල සහ කුසල විපාක නොවන,,අකණ්හඅසුක්කවිපාක' (29) හි ම විකල්ප ලේඛන රූපයකි.,
31,අකණ්හාසුක්කවිපාකත්ත,න,(අකණ්හ+අසුක්ක+විපාක+ත්ත),අකුසල සහ කුසල විපාක නොවන බව,,අකණ්හාසුක්කවිපාක' + 'ත්ත' භාවකාරක තද්ධිත ප්‍රත්‍යය → අකණ්හාසුක්කවිපාකත්ත. 'තත්ත්වය' යන අර්ථය එකතු කරයි.,
23,අකණික,විශේ,(න > අ+කාළ+ඉක),පැල්ලමකින් තොර,,සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කණික' (පැල්ලම/සිහින් කැබැල්ල) → අකණික. බහුව්‍රීහි සමාසයකි.,
24,අකණිකඞ්ග,න,(අකණික+අඞ්ග),පැල්ලමකින් තොර කොටස,,සමාස පදයකි: 'අකණික' + 'අඞ්ග' (කොටස) → අකණිකඞ්ග. කර්මධාරය සමාසයකි.,
32,අකත,අකෘ,,නොකළ,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කත' (√කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'කරන ලද') → අකත. නඤ්-තත්පුරුෂ සමාසයකි — 'නොකළ'. ('අකත' යන්නෙහි ම නැවත යෙදුමකි.)",
34,අකත 3,න,√කර් (න > අ+√කර්+ත),නොකළ දෙයක්,,අකත' හි ම නපුංසක ලිංග නාම පද රූපයකි,
35,අකත 4,අකෘ,√කර් (න > අ+√කර්+ත),(රත්රන්) හැඩ නොගැසූ අමුරන්,,අකත' හි ම — '(රත්‍රන්) හැඩ නොගැසූ' යන විශේෂිත අර්ථයෙන් ව්‍යාප්තියකි.,
36,අකතකප්ප,විශේ,(න > අ+කත+කප්ප),(විනය) අනුමත නොකළ,,සමාස පදයකි: 'අකත' + 'කප්ප' ((විනය) අනුමැතිය) → අකතකප්ප. තත්පුරුෂ සමාසයකි.,
37,අකතකම්ම 1,විශේ,(න > අ+කත+කම්ම),සොරකම් නොකළ,,සමාස පදයකි: 'අකත' + 'කම්ම' (ක්‍රියාව; මෙහිදී 'සොරකම') → අකතකම්ම. තත්පුරුෂ සමාසයකි.,
67582,අකතකම්ම 2,විශේ,,වැඩ නොකළ,,අකතකම්ම' හි ම — 'වැඩ නොකළ' යන වචනාර්ථ අර්ථයෙන් වෙනත් සන්දර්භයක.,
38,අකතකල්යාණ,විශේ,(අකත+කල්යාණ),යහපත් ක්‍රියා නොකළ,,සමාස පදයකි: 'අකත' + 'කල්‍යාණ' (යහපත් ක්‍රියාව) → අකතකල්‍යාණ. තත්පුරුෂ සමාසයකි.,
39,අකතකිබ්බිස,විශේ,(න > අ+කත+කිබ්බිස),වැරදි නොකළ,,සමාස පදයකි: 'අකත' + 'කිබ්බිස' (√කර් + 'ඉස' ප්‍රත්‍යයෙන් සෑදුණු 'පාපය/වරද') → අකතකිබ්බිස. තත්පුරුෂ සමාසයකි.,
40,අකතකුසල,විශේ,(අකත+කුසල),කුසල් නොකළ,,සමාස පදයකි: 'අකත' + 'කුසල' (කුසල් ක්‍රියාව) → අකතකුසල. තත්පුරුෂ සමාසයකි.,
41,අකතඤ්ඤුජාතක,න,,ජාතක 90,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කතඤ්ඤු' ('කත' [√කර්+ත] + 'ඤ්ඤු' [√ඤා 'දැනීම' + 'ඤු' කර්තෘකාරක ප්‍රත්‍යය], 'කළ දෙය දන්නා' = කෘතවේදී) + 'ජාතක' → අකතඤ්ඤුජාතක. කර්මධාරය සමාසයකි — 'කෘතවේදී නොවූවන් ගැන ජාතක කථාව' (ජාතක අංක 90).",
42,අකතඤ්ඤුතා,ඉ,(න > අ+කත+ඤූ+තා),කෘතවේදී නොවීම,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කතඤ්ඤු' ('කත' [√කර්+ත] + 'ඤ්ඤු' [√ඤා 'දැනීම' + 'ඤු' කර්තෘකාරක ප්‍රත්‍යය], 'කළ දෙය දන්නා' = කෘතවේදී) + 'තා' භාවකාරක තද්ධිත ප්‍රත්‍යය → අකතඤ්ඤුතා. 'කෘතවේදී නොවීම' යන අර්ථය.",
43,අකතඤ්ඤුතාඅකතවෙදිතා,ඉ,(අකතඤ්ඤුතා+අකතවෙදිතා),කෘතවේදී නොවීම හා අගය නොකිරීම,,සමාස පදයකි: 'අකතඤ්ඤුතා' + 'අකතවේදිතා' (එකම මූලයෙන් සමානාර්ථ පදයක්) → සංයුක්ත ද්වන්ද සමාසයකි.,
67592,අකතඤ්ඤුරූප,විශේ,,ස්වභාවයෙන් අකෘතඥ,,"සමාස පදයකි: නිෂේධාර්ථ 'අ' + 'කතඤ්ඤු' ('කත' [√කර්+ත] + 'ඤ්ඤු' [√ඤා 'දැනීම' + 'ඤු' කර්තෘකාරක ප්‍රත්‍යය], 'කළ දෙය දන්නා' = කෘතවේදී) + 'රූප' (ස්වභාවය) → අකතඤ්ඤුරූප. කර්මධාරය සමාසයකි.",
44,අකතඤ්ඤූ 1.1,විශේ,(න > අ+කත+ඤූ),කෘතවේදී නොවූ,,"නිෂේධාර්ථ 'අ' + 'කතඤ්ඤු' ('කත' [√කර්+ත] + 'ඤ්ඤු' [√ඤා 'දැනීම' + 'ඤු' කර්තෘකාරක ප්‍රත්‍යය], 'කළ දෙය දන්නා' = කෘතවේදී) → අකතඤ්ඤූ (දීර්ඝ 'ඌ' කාරාන්තය). නඤ්-තත්පුරුෂ සමාසයකි — 'කෘතවේදී නොවූ'.",
45,අකතඤ්ඤූ 2.1,විශේ,(අකත+ඤූ),නොනිර්මිත දෙය දන්නා,,අකතඤ්ඤූ' හි ම — 'නොනිර්මිත දෙය දන්නා' යන වෙනස් අර්ථකථනයක් ('අ-කත' + 'ඤ්ඤූ' වෙන් වශයෙන් විග්‍රහ කළහොත්).,
47,අකතත්ත 1.1,න,√කර් (න > අ+√කර්+ත+ත්ත),නොකළ තත්ත්වය,,"අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'ත්ත' භාවකාරක තද්ධිත ප්‍රත්‍යය → අකතත්ත. 'නොකළ තත්ත්වය' යන අර්ථය.",
48,අකතත්ත 1.2,න,√කර් (න > අ+√කර්+ත+ත්ත),නොකළ තත්ත්වය,,අකතත්ත' හි ම නැවත යෙදුමකි.,
67593,අකතත්ත 2.1,විශේ,,නොකළ තත්ත්වය,,අකතත්ත' හි ම විශේෂණාර්ථයෙන් යෙදුමකි.,
46,අකතතො,නි,√කර් (න > අ+√කර්+ත+තො),නොකළ ලෙස,,"අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'තො' ක්‍රියා විශේෂණ තද්ධිත ප්‍රත්‍යය → අකතතො. 'නොකළ ලෙස' යන අර්ථය.",
67583,අකතපරිග්ගහ,විශේ,,විවාහ නොවූ,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පරිග්ගහ' (හිමිකම්/විවාහ ග්‍රහණය) → අකතපරිග්ගහ. තත්පුරුෂ සමාසයකි.",
GAP-A1-154,අකතපරිචය,විශේ,(අකත+පරිචය),පුරුදු නොකළ,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පරිචය' (හුරුව/පුරුද්ද) → අකතපරිචය. තත්පුරුෂ සමාසයකි.",
67584,අකතපරිත්ත,විශේ,,ආරක්ෂිත මන්ත්රය නොකී,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පරිත්ත' (ආරක්ෂක මන්ත්‍රය) → අකතපරිත්ත. තත්පුරුෂ සමාසයකි.",
66736,අකතපාතරාස,විශේ,(අකත+පාතරාස),උදෑසන ආහාරය නොගත්,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පාතරාස' (උදෑසන ආහාරය) → අකතපාතරාස. තත්පුරුෂ සමාසයකි.",
49,අකතපාප,විශේ,(න > අ+කත+පාප),පව් නොකළ,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පාප' (පව) → අකතපාප. තත්පුරුෂ සමාසයකි.",
50,අකතපුඤ්ඤ,විශේ,(න > අ+කත+පුඤ්ඤ),පින් නොකළ,,"සමාස පදයකි: 'අකත' (නිෂේධාර්ථ 'අ' + √කර් + 'ත' අතීත කෘදන්ත ප්‍රත්‍යය, 'නොකළ') + 'පුඤ්ඤ' (පින) → අකතපුඤ්ඤ. තත්පුරුෂ සමාසයකි.",
